state,permit,handgun,long_gun,multiple,Total
Alabama,27242,27989.5,16263.5,1768,46021
Alaska,192,3144.9,2469.5,328,5942.4
Arizona,3898,17319.5,9363.2,1150,27832.7
Arkansas,3670,8749.4,6580.2,680,16009.6
California,127715,57352.9,36267,0,93619.9
Colorado,8431,25869.8,14659.7,2472,43001.5
Connecticut,14005,14405.6,4802.6,0,19208.2
Delaware,395,2802.8,1768.8,146,4717.6
Florida,28458,68293.5,28991.6,4072,101357.1
Georgia,30513,20059.6,10665.6,1128,31853.2
Hawaii,1379,0,0,0,0
Idaho,4025,4643.1,4202,312,9157.1
Illinois,143606,35323.2,14155.9,1626,51105.1
Indiana,183520,32618.3,15791.6,1878,50287.9
Iowa,23600,321.2,2860,18,3199.2
Kansas,1787,10115.6,7238,762,18115.6
Kentucky,277415,15231.7,8484.3,832,24548
Louisiana,2823,17033.5,11411.4,1284,29728.9
Maine,500,5087.5,3359.4,304,8750.9
Maryland,3458,4379.1,6095.1,32,10506.2
Massachusetts,8547,7932.1,3850,402,12184.1
Michigan,27885,19405.1,10994.5,430,30829.6
Minnesota,27969,13668.6,9486.4,828,23983
Mississippi,1442,11282.7,7384.3,730,19397
Missouri,11441,31878,17262.3,1910,51050.3
Montana,2240,3689.4,3931.4,410,8030.8
Nebraska,8560,196.9,2481.6,26,2704.5
Nevada,2386,6670.4,3118.5,514,10302.9
New Hampshire,5807,7860.6,3950.1,8,11818.7
New Jersey,0,4972,4405.5,0,9377.5
New Mexico,769,6513.1,4626.6,576,11715.7
New York,4535,13222,17007.1,400,30629.1
North Carolina,33032,1485,14245,356,16086
North Dakota,800,2374.9,2809.4,162,5346.3
Ohio,13836,41830.8,20474.3,2644,64949.1
Oklahoma,0,20556.8,11949.3,1778,34284.1
Oregon,45,17523,11443.3,0,28966.3
Pennsylvania,33905,63090.5,11246.4,0,74336.9
Rhode Island,0,1554.3,987.8,354,2896.1
South Carolina,10212,13618,6917.9,652,21187.9
South Dakota,1872,4160.2,4196.5,342,8698.7
Tennessee,14485,33452.1,18228.1,2542,54222.2
Texas,36269,79888.6,42235.6,5400,127524.2
Utah,10485,5128.2,4019.4,348,9495.6
Vermont,0,2049.3,1516.9,130,3696.2
Virginia,524,29736.3,17268.9,0,47005.2
Washington,19688,22469.7,12490.5,1190,36150.2
West Virginia,3378,8160.9,6055.5,698,14914.4
Wisconsin,9496,19765.9,11831.6,84,31681.5
Wyoming,959,2399.1,2181.3,208,4788.4
